epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8895.39,0.55081,0.38788,0.86578,0.87799,0.88005,0.9311,0.78548,0.50451,0.35048,0.85281,0.007228,0.007228,0.007228
44,9190.84,0.54587,0.38633,0.86314,0.87094,0.89099,0.92986,0.78481,0.50453,0.34832,0.85297,0.007162,0.007162,0.007162
45,9485.88,0.54736,0.38578,0.8618,0.88573,0.87125,0.93033,0.78732,0.50372,0.34887,0.85084,0.007096,0.007096,0.007096
46,9781.84,0.54519,0.38148,0.86074,0.86749,0.89178,0.92981,0.78624,0.50258,0.34572,0.85173,0.00703,0.00703,0.00703
47,326.441,0.53989,0.37562,0.8598,0.87955,0.88277,0.92957,0.78619,0.50117,0.34664,0.85167,0.006964,0.006964,0.006964
48,646.359,0.54132,0.37568,0.86124,0.87616,0.88661,0.92948,0.78637,0.50076,0.34387,0.85068,0.006898,0.006898,0.006898
49,967.083,0.53941,0.37563,0.86047,0.88025,0.88337,0.92912,0.7858,0.49956,0.34559,0.85245,0.006832,0.006832,0.006832
50,1288.21,0.5364,0.37078,0.85947,0.89368,0.8763,0.93047,0.78918,0.49988,0.34508,0.85137,0.006766,0.006766,0.006766
51,1600.09,0.53759,0.37163,0.85975,0.89205,0.87796,0.93042,0.78908,0.49866,0.34364,0.8529,0.0067,0.0067,0.0067
52,1905.73,0.53607,0.36964,0.85857,0.88978,0.88136,0.92943,0.79021,0.49666,0.3421,0.85115,0.006634,0.006634,0.006634
53,2206.73,0.53505,0.3687,0.8602,0.88187,0.88606,0.93152,0.79291,0.49734,0.34318,0.85362,0.006568,0.006568,0.006568
54,2502.26,0.53401,0.36679,0.85843,0.87982,0.88681,0.93115,0.78924,0.49571,0.34121,0.85013,0.006502,0.006502,0.006502
55,2797.35,0.53194,0.36568,0.85723,0.89431,0.87623,0.93286,0.79434,0.4952,0.34109,0.85084,0.006436,0.006436,0.006436
56,3092.24,0.53126,0.36263,0.85882,0.88428,0.88442,0.93123,0.79307,0.49487,0.34151,0.84965,0.00637,0.00637,0.00637
57,3390.24,0.53144,0.36361,0.85681,0.88618,0.88105,0.92884,0.79107,0.49432,0.34098,0.8496,0.006304,0.006304,0.006304
58,3690.84,0.52684,0.35795,0.85469,0.89357,0.8697,0.92819,0.79397,0.49315,0.33904,0.84869,0.006238,0.006238,0.006238
59,4022.65,0.52723,0.3585,0.8559,0.89015,0.87836,0.92939,0.79121,0.49301,0.33993,0.84885,0.006172,0.006172,0.006172
60,4326.69,0.52754,0.36003,0.85536,0.88585,0.88343,0.93032,0.79128,0.49226,0.33875,0.84765,0.006106,0.006106,0.006106
61,4625.4,0.52513,0.35697,0.85522,0.89198,0.88261,0.93155,0.79439,0.4913,0.3376,0.8489,0.00604,0.00604,0.00604
62,4924.76,0.52466,0.35557,0.8553,0.88859,0.88217,0.93278,0.79491,0.49112,0.33786,0.84892,0.005974,0.005974,0.005974
63,5223.71,0.52288,0.35525,0.85437,0.88475,0.88357,0.92966,0.79249,0.49057,0.33688,0.84841,0.005908,0.005908,0.005908
64,5521.82,0.52178,0.35191,0.85346,0.87864,0.89141,0.93241,0.79306,0.49015,0.33723,0.84745,0.005842,0.005842,0.005842
65,5820.16,0.52129,0.34989,0.85412,0.90006,0.87343,0.93392,0.79549,0.48985,0.33693,0.84667,0.005776,0.005776,0.005776
66,6126.18,0.52193,0.35093,0.85477,0.88571,0.88504,0.93329,0.79717,0.48888,0.33624,0.84808,0.00571,0.00571,0.00571
67,6429.11,0.52112,0.35095,0.85417,0.89541,0.87573,0.93258,0.79522,0.48857,0.33567,0.84801,0.005644,0.005644,0.005644
68,6728.33,0.5188,0.34862,0.85345,0.89431,0.88335,0.93271,0.79458,0.48825,0.33403,0.84701,0.005578,0.005578,0.005578
69,7030.5,0.51841,0.34834,0.85306,0.88928,0.88503,0.93163,0.79677,0.48718,0.33386,0.84629,0.005512,0.005512,0.005512
70,7330.23,0.51867,0.34708,0.85296,0.88357,0.89065,0.93053,0.79581,0.48714,0.33504,0.84645,0.005446,0.005446,0.005446
71,7624.67,0.51585,0.34438,0.85192,0.8793,0.89395,0.93091,0.79679,0.48597,0.33467,0.84663,0.00538,0.00538,0.00538
72,7918.38,0.51472,0.34255,0.85192,0.89135,0.88492,0.93219,0.79684,0.48612,0.33466,0.84625,0.005314,0.005314,0.005314
73,8212,0.51561,0.34379,0.85236,0.88371,0.88969,0.9313,0.79778,0.48652,0.33508,0.84699,0.005248,0.005248,0.005248
74,8504.89,0.51371,0.34233,0.85111,0.88483,0.8904,0.93285,0.79717,0.48613,0.33405,0.84682,0.005182,0.005182,0.005182
75,8798.31,0.51222,0.33813,0.85032,0.88671,0.88927,0.93536,0.79808,0.4849,0.33267,0.84517,0.005116,0.005116,0.005116
76,9091.23,0.51306,0.3396,0.8523,0.89643,0.88202,0.93336,0.79668,0.48457,0.33218,0.84582,0.00505,0.00505,0.00505
77,9384.18,0.50961,0.33858,0.85131,0.90135,0.87594,0.93398,0.7974,0.48482,0.33227,0.84596,0.004984,0.004984,0.004984
78,9684.67,0.5112,0.33681,0.85015,0.88589,0.89189,0.93427,0.79833,0.48459,0.33199,0.845,0.004918,0.004918,0.004918
79,10017.6,0.50964,0.33683,0.84874,0.89113,0.89,0.93425,0.79938,0.48404,0.33189,0.84471,0.004852,0.004852,0.004852
80,10313.9,0.51157,0.33898,0.85108,0.89125,0.89144,0.93505,0.80004,0.48317,0.33182,0.84485,0.004786,0.004786,0.004786
81,10608.6,0.51088,0.33724,0.8505,0.9029,0.88199,0.935,0.80021,0.48302,0.33085,0.84481,0.00472,0.00472,0.00472
82,10901.8,0.51219,0.33864,0.85208,0.90406,0.87322,0.93279,0.79894,0.48316,0.33112,0.84543,0.004654,0.004654,0.004654
83,11193,0.50957,0.33604,0.85042,0.89758,0.87966,0.93246,0.79913,0.48259,0.33082,0.84561,0.004588,0.004588,0.004588
84,11485.5,0.5086,0.33394,0.85062,0.89251,0.88492,0.9321,0.799,0.48223,0.3308,0.84576,0.004522,0.004522,0.004522
85,11776.7,0.50688,0.33387,0.84982,0.88862,0.88958,0.93251,0.79902,0.48151,0.33063,0.84484,0.004456,0.004456,0.004456
86,12068.4,0.50776,0.33169,0.85244,0.89673,0.88141,0.93326,0.80156,0.48095,0.33083,0.84586,0.00439,0.00439,0.00439
87,12359.6,0.50415,0.32899,0.85067,0.89956,0.87661,0.93412,0.80119,0.48065,0.32983,0.84591,0.004324,0.004324,0.004324
88,12649.6,0.50389,0.32932,0.84902,0.8902,0.88561,0.93384,0.80156,0.48024,0.32947,0.84564,0.004258,0.004258,0.004258
89,12944.1,0.50284,0.32963,0.8485,0.89182,0.88714,0.93344,0.80013,0.48004,0.32928,0.84517,0.004192,0.004192,0.004192
90,13239.7,0.50276,0.32769,0.84795,0.89556,0.88308,0.93322,0.79942,0.47971,0.3295,0.84453,0.004126,0.004126,0.004126
91,13529.5,0.50123,0.32452,0.84855,0.89128,0.89025,0.93344,0.79828,0.47947,0.32925,0.84468,0.00406,0.00406,0.00406
92,13819.5,0.50055,0.32296,0.84771,0.89075,0.88775,0.93255,0.79854,0.47937,0.32987,0.84398,0.003994,0.003994,0.003994
93,14109.4,0.49958,0.32503,0.84933,0.88782,0.89131,0.93213,0.79774,0.47911,0.33036,0.84441,0.003928,0.003928,0.003928
94,14400,0.49914,0.32406,0.84724,0.88749,0.88995,0.932,0.79755,0.47903,0.33092,0.84397,0.003862,0.003862,0.003862
95,14689.4,0.49956,0.32063,0.84802,0.8937,0.88353,0.9319,0.79768,0.47855,0.33091,0.84398,0.003796,0.003796,0.003796
96,14981.2,0.49616,0.3201,0.84588,0.90187,0.87589,0.93237,0.79874,0.47807,0.33087,0.84372,0.00373,0.00373,0.00373
97,15272.8,0.4962,0.31827,0.84513,0.89117,0.88804,0.93405,0.80125,0.47767,0.33081,0.8433,0.003664,0.003664,0.003664
