backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path
whisper,front__090,front,3.333,0,7.86,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__090/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_01_front__090.log
whisper,front__177,front,1.5,0,8.72,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__177/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_02_front__177.log
whisper,front__23081,front,25.533,0,10.26,11,11,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__23081/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_03_front__23081.log
whisper,front__28646,front,3.2,0,7.77,2,2,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__28646/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_04_front__28646.log
whisper,front__35288,front,2.04,0,7.74,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__35288/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_05_front__35288.log
whisper,front__50138,front,4.4,0,7.69,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/front/front__50138/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_06_front__50138.log
whisper,rear__0499,rear,2.8,0,7.74,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cpu/whisper/rear/rear__0499/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_07_rear__0499.log
whisper,rear__154721,rear,3.067,0,7.83,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/rear/rear__154721/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_08_rear__154721.log
whisper,rear__258208,rear,20.233,0,14.31,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_09_rear__258208.log
whisper,rear__282888,rear,11.96,0,8.21,6,6,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/rear/rear__282888/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_10_rear__282888.log
whisper,rear__423312,rear,3.0,0,7.77,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/rear/rear__423312/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_11_rear__423312.log
