backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path,attempt_count,recovery_action,final_device,final_compute_type
whisper,rear__258208,rear,20.233,0,33.47,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry_recover2/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_01_rear__258208.attempt1.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_01_rear__258208.attempt2_retry_compute.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_01_rear__258208.attempt3_fallback_device.log,3,fallback_cpu,cpu,int8
whisper,top1__0968,top1,3.8,0,24.990000000000002,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry_recover2/whisper/top1/top1__0968/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_02_top1__0968.attempt1.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_02_top1__0968.attempt2_retry_compute.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2/whisper_02_top1__0968.attempt3_fallback_device.log,3,fallback_cpu,cpu,int8
