case_id,view_code,event_query_count,transcript_count,actions_count,verified_count,align_count
front__002,front,3,3,26,3,3
rear__0002,rear,2,2,13,2,2
teacher__0002,teacher,10,10,10,10,10
teacher__0003,teacher,10,10,44,10,10
top1__0002,top1,7,7,31,7,7
top1__0003,top1,11,11,17,11,11
top2__250489,top2,2,2,23,2,2
