case_id,view_code,event_query_count,transcript_count,actions_count,verified_count,align_count
front__003,front,3,3,11,3,3
front__004,front,2,2,13,2,2
rear__0004,rear,1,1,17,1,1
teacher__0004,teacher,4,4,9,4,4
top2__250286,top2,2,2,13,2,2
